YEAR,B_WAE-Y,C_WAE-Y,B_WAE-A,C_WAE-A,B_YEP-A,C_YEP-A,B_RAT-A,C_RAT-A,B_LWF,C_LWF,B_BUT,C_BUT,B_WHP,C_WHP,B_WHB,C_WHB,B_SMB,C_SMB,B_LKT,C_LKT,B_RAS,C_RAS,B_SUK,C_SUK,B_CAT,C_CAT,B_PanF,C_PanF
69,0.436942215506432,0.43694,1.81383839644699,0.4526,1.28623496675368,0.29561,0.925665271639298,1,0.992449643042113,0.99245,0.912312175236746,0.91231,1.31967324180589,1.31967,0.133969397643724,0.13397,1.36673872672934,1.36674,1.02530584673579,1.02531,0.968246339069814,0.96825,0.98087540415859,0.98088,1.15572763018236,1.15573,1.03662922951974,1.03663
70,0.436088599592948,0.43609,1.81433479253234,0.45267,1.28744643213563,0.29566,0.925334971638432,1,0.992498775301138,0.9925,0.914907044353556,0.91491,1.31333891670837,1.31334,0.134809935226772,0.13481,1.36753764038919,1.36754,1.02677832537162,1.02678,0.968948004431701,0.96895,0.980840342602362,0.98084,1.1561290492291,1.15613,1.03661580730299,1.03662
71,0.435273371336196,0.43527,1.81469966624787,0.45272,1.28864087321,0.29571,0.925013165524052,1,0.992552030546934,0.99255,0.917423830023182,0.91742,1.30709195493254,1.30709,0.135717372764656,0.13572,1.36827726596347,1.36828,1.02819747961042,1.0282,0.969626034880417,0.96963,0.980810376760379,0.98081,1.15652240948438,1.15652,1.0366202257967,1.03662
72,0.434499862806811,0.4345,1.81493995681064,0.45276,1.28981515906965,0.29575,0.92469728910401,1,0.992608859047932,0.99261,0.919866734554782,0.91987,1.30095085580703,1.30095,0.136689648064751,0.13669,1.36897249254154,1.36897,1.02956512264653,1.02957,0.970277018551856,0.97028,0.980785202410897,0.98079,1.15690816710619,1.15691,1.036638566714,1.03664
73,0.43377135099988,0.43377,1.81506082828915,0.45278,1.29096909403288,0.2958,0.924385419234198,1,0.992667542892978,0.99267,0.922233883945623,0.92223,1.29493101929654,1.29493,0.137726178860905,0.13773,1.3696363313096,1.36964,1.03087902919597,1.03088,0.970898536124197,0.9709,0.980764819553914,0.98076,1.1572842693835,1.15728,1.03666632819337,1.03667
74,0.43308981863512,0.43309,1.81507567498612,0.45278,1.29209299185573,0.29584,0.924073228840367,1,0.992728906679424,0.99273,0.924528742261363,0.92453,1.28904687681452,1.28905,0.138824611827417,0.13882,1.37027589147249,1.37028,1.03213969376631,1.03214,0.971486927597762,0.97149,0.980749836632922,0.98075,1.15765010810565,1.15765,1.0367005089938,1.0367
75,0.432455128023661,0.43246,1.81500095736989,0.45277,1.2931862654931,0.29589,0.923757432551329,1,0.992793637571734,0.99279,0.926748924407614,0.92675,1.28330840443872,1.28331,0.139985456447171,0.13999,1.37089948945849,1.3709,1.03334134710284,1.03334,0.972039277379589,0.97204,0.980740253647923,0.98074,1.15800142579788,1.158,1.03673877481672,1.03674
76,0.431867637156564,0.43187,1.8148494242346,0.45275,1.29423766324746,0.29593,0.923433623161835,1,0.992863109898831,0.99286,0.928895225415838,0.9289,1.27772393170978,1.27772,0.141204103113125,0.1412,1.3715120882974,1.37151,1.03448077490651,1.03448,0.972553600385106,0.97255,0.980736602986971,0.98074,1.15833578961749,1.15834,1.03677862462795,1.03678
77,0.43132599668291,0.43133,1.81463495401437,0.45272,1.29524845704982,0.29597,0.923099717265763,1,0.992936705212699,0.99294,0.930965941647189,0.93097,1.27229868880439,1.2723,0.142481837663032,0.14248,1.37211449280485,1.37211,1.0355551749679,1.03556,0.973028407800886,0.97303,0.980739264927248,0.98074,1.15864939824776,1.15865,1.03681889127821,1.03682
78,0.430827948505244,0.43083,1.8143725547833,0.45268,1.2962111131549,0.296,0.922751788443891,1,0.993015179394247,0.99302,0.932961300253513,0.93296,1.26703509710065,1.26704,0.143814826844721,0.14381,1.37270562989332,1.37271,1.03655894286814,1.03656,0.973461590474572,0.97346,0.980748771856811,0.98075,1.15894057910932,1.15894,1.03685865772163,1.03686
79,0.430372088197101,0.43037,1.81407562084408,0.45264,1.29712621860776,0.29604,0.922387512897085,1,0.993101281101321,0.9931,0.934880903719078,0.93488,1.26193276917807,1.26193,0.145201796950983,0.1452,1.37328080480491,1.37328,1.03749117201008,1.03749,0.973853706711199,0.97385,0.980765504052842,0.98077,1.15920575896444,1.15921,1.03689775722261,1.0369
80,0.429955937358834,0.42996,1.81374963901951,0.45259,1.29798643534481,0.29607,0.9220060893153,1,0.99319686567797,0.9932,0.936722139797651,0.93672,1.2569903490649,1.25699,0.146639363559804,0.14664,1.37384041994744,1.37384,1.03834699973618,1.03835,0.974204756510767,0.9742,0.980789385459904,0.98079,1.15944242894408,1.15944,1.03693627314895,1.03694
81,0.429576934977478,0.42958,1.81340558295515,0.45254,1.29879323097876,0.29611,0.921606636257485,1,0.993299871630807,0.9933,0.938484270245732,0.93848,1.25220483425231,1.2522,0.148125124823306,0.14813,1.37437817093171,1.37438,1.03912642604644,1.03913,0.974515732415563,0.97452,0.980820872410617,0.98082,1.15965081712724,1.15965,1.0369750391787,1.03698
82,0.429232767880029,0.42923,1.81305039186808,0.45249,1.29954425732926,0.29614,0.921189955033686,1,0.993412910184788,0.99341,0.94016655681982,0.94017,1.24757225368023,1.24757,0.149656072366367,0.14966,1.37489003367952,1.37489,1.03982895643331,1.03983,0.974786634425585,0.97479,0.980859812794106,0.98086,1.1598286427239,1.15983,1.03701480562212,1.03701
83,0.42892073736465,0.42892,1.81268229060973,0.45244,1.30024205825835,0.29616,0.920754843678834,1,0.993536050056358,0.99354,0.94176598975795,0.94177,1.24308853943345,1.24309,0.151230313823988,0.15123,1.37537278892831,1.37537,1.04045253044868,1.04045,0.975020254066012,0.97502,0.980906130554937,0.98091,1.15997575368137,1.15998,1.03705723983534,1.03706
84,0.428638750560531,0.42864,1.81230434534579,0.45239,1.3008893733098,0.29619,0.920305228612153,1,0.993667367185025,0.99367,0.943283534455471,0.94328,1.2387493330314,1.23875,0.152845580784285,0.15285,1.37582214432799,1.37582,1.04100085689916,1.041,0.975217956082485,0.97522,0.980959673582235,0.98096,1.16009298628933,1.16009,1.03710184161151,1.0371
85,0.428385403041206,0.42839,1.81191816984767,0.45233,1.30148444134833,0.29621,0.919840468785608,1,0.993808854347727,0.99381,0.944720724187344,0.94472,1.23455056655889,1.23455,0.15449732429294,0.1545,1.37623394166441,1.37623,1.04147426545643,1.04147,0.975380733017291,0.97538,0.981020061598819,0.98102,1.1601823172325,1.16018,1.03715052841016,1.03715
86,0.428158712086957,0.42816,1.81152489375534,0.45228,1.30203225225719,0.29623,0.919362647605317,1,0.993959961812896,0.99396,0.946075117071222,0.94608,1.23048846266608,1.23049,0.156183651984955,0.15618,1.37660643717036,1.37661,1.04187489898653,1.04187,0.975510818090572,0.97551,0.981087218549252,0.98109,1.16024329035286,1.16024,1.03720355033473,1.0372
87,0.427957686337927,0.42796,1.8111169323432,0.45222,1.30253192546876,0.29625,0.918873207429362,1,0.994119864983178,0.99412,0.94734654274322,0.94735,1.22655982513389,1.22656,0.157902295448445,0.1579,1.37693600917543,1.37694,1.04220580695266,1.04221,0.975609451980184,0.97561,0.981160535990041,0.98116,1.1602776542561,1.16028,1.03726174106326,1.03726
88,0.427781306896483,0.42778,1.81070041794259,0.45216,1.3029876681395,0.29627,0.918373991270849,1,0.994287876694109,0.99429,0.948536988781992,0.94854,1.22276232943934,1.22276,0.159648899817809,0.15965,1.37722466971875,1.37722,1.04246633001142,1.04247,0.975678247567341,0.97568,0.981239861810314,0.98124,1.16028609317924,1.16029,1.03732526733137,1.03733
89,0.427628720091637,0.42763,1.81026954097644,0.4521,1.30339996947366,0.29629,0.917867082535896,1,0.994462966198999,0.99446,0.949647079855118,0.94965,1.21909384476971,1.21909,0.161419995757221,0.16142,1.37747335775189,1.37747,1.04266297917884,1.04266,0.975718941801042,0.97572,0.981324815732888,0.98132,1.16027088791232,1.16027,1.03739421250687,1.03739
90,0.427499154865721,0.4275,1.80982220354192,0.45204,1.30377196037837,0.2963,0.917353683189573,1,0.994646232960984,0.99465,0.950677610994058,0.95068,1.21555330571865,1.21555,0.163213375507518,0.16321,1.37767912228416,1.37768,1.04279830941057,1.0428,0.975733023494717,0.97573,0.981414941425145,0.98141,1.16023492745605,1.16023,1.03746966037123,1.03747
91,0.427392115538806,0.42739,1.80935469396479,0.45197,1.30410775016926,0.29631,0.916835155458957,1,0.994834035008418,0.99483,0.951629888321931,0.95163,1.2121397437349,1.21214,0.165026358218289,0.16503,1.37784424362655,1.37784,1.04287380422924,1.04287,0.975721857394006,0.97572,0.981509858609901,0.98151,1.16017912412645,1.16018,1.03755027703956,1.03755
92,0.427306996279867,0.42731,1.80887169218214,0.45191,1.30440724100549,0.29633,0.916313502619162,1,0.995028777416917,0.99503,0.952505501901659,0.95251,1.20885306196336,1.20885,0.166854249368678,0.16685,1.3779722093135,1.37797,1.04289341969523,1.04289,0.975686187905624,0.97569,0.981609110954538,0.98161,1.16010362997618,1.1601,1.03763631261527,1.03764
93,0.427244457995477,0.42724,1.80836529071406,0.45183,1.3046701393645,0.29634,0.915789525980235,1,0.995226955647726,0.99523,0.953304622097127,0.9533,1.20569335725913,1.20569,0.16869661225907,0.1687,1.37806315348096,1.37806,1.04285913383871,1.04286,0.975626821470178,0.97563,0.98171239423731,0.98171,1.1600114100323,1.16001,1.03772701678811,1.03773
94,0.427203839779063,0.4272,1.8078443653033,0.45176,1.30490016319853,0.29635,0.915263786459206,1,0.995429188148859,0.99543,0.954031621581379,0.95403,1.20266072647735,1.20266,0.170547854708291,0.17055,1.37812083193525,1.37812,1.0427736664512,1.04277,0.975545433002775,0.97555,0.98181963240278,0.98182,1.15990261634747,1.1599,1.03782247292589,1.03782
95,0.427183682128613,0.42718,1.80730278361851,0.45168,1.30509848659776,0.29635,0.914737245628133,1,0.995635612353211,0.99564,0.954685251019259,0.95469,1.19975536332827,1.19976,0.172406557442594,0.17241,1.37814618362794,1.37815,1.04264031424966,1.04264,0.975442332672879,0.97544,0.981930293062892,0.98193,1.1597789975274,1.15978,1.03792226418958,1.03792
96,0.427183929968577,0.42718,1.80674587110533,0.45161,1.30526814262847,0.29636,0.914209743225004,1,0.995844029334501,0.99584,0.955266986897768,0.95527,1.19697775208749,1.19698,0.174269457345414,0.17427,1.37814122059816,1.37814,1.04246072559257,1.04246,0.975318885226132,0.97532,0.982043995940465,0.98204,1.15964078165107,1.15964,1.03802505669428,1.03803
97,0.427205051441112,0.42721,1.80616991608954,0.45152,1.30540521765675,0.29637,0.913683362655939,1,0.996056500586117,0.99606,0.955780009342755,0.95578,1.19432740847941,1.19433,0.176134370918678,0.17613,1.37811036933191,1.37811,1.0422374554356,1.04224,0.97517478049307,0.97517,0.982160664980061,0.98216,1.15948979335054,1.15949,1.03813018349754,1.03813
98,0.427246578404063,0.42725,1.80558589221669,0.45144,1.30551274474888,0.29637,0.913157302610892,1,0.996269109270625,0.99627,0.956226249144915,0.95623,1.19180481677965,1.1918,0.177998811400694,0.178,1.37805403223702,1.37805,1.04197017410704,1.04197,0.975011879490478,0.97501,0.982279843849062,0.98228,1.15932603262579,1.15933,1.03823831154182,1.03824
99,0.4273062252222,0.42731,1.80498556925262,0.45136,1.30559189799505,0.29637,0.912631963744887,1,0.996484191747196,0.99648,0.956605819880171,0.95661,1.18940929900232,1.18941,0.179858084270604,0.17986,1.37797502616825,1.37798,1.04166415635406,1.04166,0.974830058150571,0.97483,0.982401532547468,0.9824,1.15914957550316,1.15915,1.03834810694222,1.03835
100,0.427385010793155,0.42739,1.80437475677439,0.45127,1.30564414500796,0.29638,0.91210798710596,1,0.996701473150045,0.9967,0.95692190167437,0.95692,1.1871402740167,1.18714,0.181710224380144,0.18171,1.37787160735835,1.37787,1.04131931975872,1.04132,0.974630867320669,0.97463,0.982525578964405,0.98253,1.15896232264102,1.15896,1.03845931959532,1.03846
101,0.42748172345488,0.42748,1.80376071675334,0.45118,1.30566527863117,0.29638,0.911585532956119,1,0.996918548403555,0.99692,0.957177220349671,0.95718,1.1849965795613,1.185,0.183552939056337,0.18355,1.37774940951682,1.37775,1.04093615882857,1.04094,0.974414927339701,0.97441,0.982651374656382,0.98265,1.15876442609203,1.15876,1.03857128255867,1.03857
102,0.427595013856457,0.4276,1.80313973751524,0.4511,1.30566126715639,0.29638,0.911065562867421,1,0.997135829806404,0.99714,0.957371321602379,0.95737,1.18297695651951,1.18298,0.185383535318227,0.18538,1.37760735955615,1.37761,1.04051994831077,1.04052,0.974183478885524,0.97418,0.982779071734271,0.98278,1.15855618996153,1.15856,1.0386843293035,1.03868
103,0.427723808024706,0.42772,1.80251714450573,0.45101,1.30563230626534,0.29637,0.910547596053837,1,0.997353454791484,0.99735,0.95750795343796,0.95751,1.18108014577471,1.18108,0.187198907746333,0.1872,1.37744666469979,1.37745,1.04007052336948,1.04007,0.973936459924244,0.97394,0.982908213865454,0.98291,1.15833723411785,1.15834,1.03879762615175,1.0388
104,0.427867500128601,0.42787,1.80189277634766,0.45092,1.30558045061581,0.29637,0.91003203317039,1,0.997572797687719,0.99757,0.957587343008261,0.95759,1.17930430707956,1.1793,0.188995441438291,0.189,1.37726839803526,1.37727,1.0395892851094,1.03959,0.973675545370969,0.97368,0.983038572883621,0.98304,1.15810930716669,1.15811,1.03891058952877,1.03891
105,0.428025897403728,0.42803,1.80127082884671,0.45083,1.3055011995288,0.29637,0.909520476837172,1,0.997791315986599,0.99779,0.95761198898359,0.95761,1.1776476001867,1.17765,0.19077068602404,0.19077,1.3770733643782,1.37707,1.03907829397864,1.03908,0.973402596242483,0.9734,0.983170148788772,0.98317,1.15787301731872,1.15787,1.03902413648043,1.03902
106,0.428197044668142,0.4282,1.80065259302,0.45074,1.30539915152416,0.29637,0.909013648233224,1,0.998008597389448,0.99801,0.957584957913874,0.95758,1.17610760371804,1.17611,0.19252358614618,0.19252,1.37686290508802,1.37686,1.03854043460455,1.03854,0.973118232877715,0.97312,0.983302409192851,0.9833,1.15762950496897,1.15763,1.03913743332868,1.03914
107,0.428379978099759,0.42838,1.80003823024467,0.45066,1.30527538285124,0.29636,0.908511467227541,1,0.99822457317982,0.99822,0.957508067013883,0.95751,1.17468209000572,1.17468,0.194251242604492,0.19425,1.37663688602878,1.37664,1.03797883886826,1.03798,0.972822207141094,0.97282,0.983434973818677,0.98343,1.15737838998575,1.15738,1.03924972976326,1.03925
108,0.4285736237254,0.42857,1.79942951566928,0.45057,1.30513028487341,0.29636,0.908013773558115,1,0.99844075511953,0.99844,0.957380861979926,0.95738,1.17336873452679,1.17337,0.195950234585328,0.19595,1.37639450238484,1.37639,1.0373929298443,1.03739,0.972517372591689,0.97252,0.983567842666248,0.98357,1.15712058468509,1.15712,1.03936210956564,1.03936
109,0.428777706167327,0.42878,1.79882790168808,0.45049,1.30496552088511,0.29635,0.907522650631064,1,0.998654394550731,0.99865,0.957207885848928,0.95721,1.17216492219289,1.17216,0.197618524157155,0.19762,1.37614004650627,1.37614,1.03678641633925,1.03679,0.972203853297288,0.9722,0.983700635458383,0.9837,1.15685760959367,1.15686,1.03947407252899,1.03947
110,0.428990738385751,0.42899,1.79823274279251,0.4504,1.30478275418074,0.29634,0.907038739494425,1,0.998866728369454,0.99887,0.956989933652353,0.95699,1.17106842533618,1.17107,0.199253782255361,0.19925,1.37587137221805,1.37587,1.03616061703992,1.03616,0.971883944511924,0.97188,0.983833352195082,0.98383,1.15658961676417,1.15659,1.03958511844648,1.03959
111,0.429212031936327,0.42921,1.7976472665254,0.45032,1.30458511566745,0.29633,0.90656244080322,1,0.999075351500083,0.99908,0.956730185516049,0.95673,1.17007643515806,1.17008,0.200855123350173,0.20086,1.37559075983114,1.37559,1.03551882866327,1.03552,0.971557460133919,0.97156,0.983965308377415,0.98397,1.15631812672328,1.15632,1.03969499721468,1.03969
112,0.429440678072519,0.42944,1.79706985911534,0.45024,1.3043696701198,0.29633,0.906094155212474,1,0.999281844420881,0.99928,0.956430685806633,0.95643,1.16918614285995,1.16919,0.202418180445445,0.20242,1.37529861175338,1.3753,1.03486319407534,1.03486,0.97122520660388,0.97123,0.984096351894511,0.9841,1.15604329152366,1.15604,1.03980462587947,1.0398
113,0.429676649256552,0.42968,1.79650471636798,0.45016,1.30413749378711,0.29632,0.905634523770221,1,0.999487031729201,0.99949,0.956093478890722,0.95609,1.16839503020863,1.1684,0.203943086977171,0.20394,1.37499546452852,1.375,1.03419354844027,1.03419,0.970889106972486,0.97089,0.984226406690931,0.98423,1.15576663169202,1.15577,1.03991275392375,1.03991
114,0.429918348297543,0.42992,1.79594586732911,0.45008,1.30389377223433,0.29631,0.905184427917514,1,0.99968754631918,0.99969,0.95572117701455,0.95572,1.16770057897087,1.1677,0.205428496454873,0.20543,1.37468265951597,1.37468,1.0335144247439,1.03351,0.970550525985377,0.97055,0.984355092489495,0.98436,1.15548753901767,1.15549,1.04001954808313,1.04002
115,0.430165307053338,0.43017,1.79540057397008,0.45,1.30363742921215,0.2963,0.90474490935741,1,0.999884762519741,0.99988,0.955315143089195,0.95532,1.16710027091347,1.1671,0.206871303459069,0.20687,1.37436341597829,1.37436,1.03282780101643,1.03283,0.970209525676449,0.97021,0.984482637456512,0.98448,1.15520814223797,1.15521,1.04012500835762,1.04013
116,0.43041625878634,0.43042,1.79486770665089,0.44992,1.30337071506005,0.29629,0.90431612835192,1,1.00007923006246,1.00008,0.954876512873888,0.95488,1.16659129723782,1.16659,0.208271289639952,0.20827,1.37403652669201,1.37404,1.03213285307859,1.03213,0.969867098587984,0.96987,0.984608128926742,0.98461,1.15492904956362,1.15493,1.04022855117258,1.04023
117,0.430670762892167,0.43067,1.79434758812584,0.44985,1.30309362977806,0.29628,0.903898485556066,1,1.00026785670724,1.00027,0.95440926152594,0.95441,1.16617104285558,1.16617,0.209626756721244,0.20963,1.37370185752121,1.3737,1.03143543260303,1.03144,0.969523740991128,0.96952,0.984731338733878,0.98473,1.15465064112628,1.15465,1.04033084347044,1.04033
118,0.430928378766438,0.43093,1.79383763636066,0.44978,1.30280734745633,0.29626,0.903491900838843,1,1.00045208549948,1.00045,0.953916114867509,0.95392,1.16583660211305,1.16584,0.210935812337948,0.21094,1.37336303013625,1.37336,1.0307337263954,1.03073,0.969181251868771,0.96918,0.984852723210537,0.98485,1.15437352513662,1.15437,1.04043105157316,1.04043
119,0.431188473040354,0.43119,1.79333930374962,0.44971,1.30251490116118,0.29625,0.903097255641303,1,1.00063260360361,1.00063,0.953397754354132,0.9534,1.16558516621163,1.16559,0.21219806831263,0.2122,1.37301964212934,1.37302,1.03003202018778,1.03003,0.968839879356485,0.96884,0.984971597857792,0.98497,1.15409853788434,1.1541,1.04052909211292,1.04053
120,0.43145071526063,0.43145,1.7928548495727,0.44964,1.3022151168024,0.29624,0.902715511535499,1,1.00080789925784,1.00081,0.952857473687582,0.95286,1.16541412006297,1.16541,0.21341337907875,0.21341,1.37267249831609,1.37267,1.02933056123392,1.02933,0.96850005769152,0.9685,0.985088038731079,0.98509,1.15382522321142,1.15383,1.04062496508973,1.04062
121,0.431714609747337,0.43171,1.79238378969847,0.44957,1.30190770085748,0.29623,0.902346027473396,1,1.0009771478648,1.00098,0.95229674935486,0.9523,1.16532104228898,1.16532,0.214581623330861,0.21458,1.37232374487156,1.37232,1.02863149239987,1.02863,0.968162903483948,0.96816,0.985201665553215,0.9852,1.15355472151288,1.15355,1.0407188372392,1.04072
122,0.431979357905032,0.43198,1.79192822202977,0.44951,1.30159480582505,0.29622,0.901989524634034,1,1.0011413801712,1.00114,0.951717625722584,0.95172,1.16530263981546,1.1653,0.215701005748326,0.2157,1.37197391833952,1.37197,1.02793679171581,1.02794,0.967828850971017,0.96783,0.985312630435074,0.98531,1.15328916152608,1.15329,1.04080995825107,1.04081
123,0.432243748071667,0.43224,1.79148572590948,0.44944,1.30127868204464,0.2962,0.901646003017413,1,1.00130148949082,1.0013,0.951122601461063,0.95112,1.16535629755405,1.16536,0.216771405025694,0.21677,1.37162409180747,1.37162,1.0272453053308,1.02725,0.967498024220513,0.9675,0.985420705210345,0.98542,1.15302649054001,1.15303,1.04089857822876,1.0409
124,0.432507725171695,0.43251,1.79105839924043,0.44938,1.30096011224302,0.29619,0.901315863278557,1,1.00145548304673,1.00146,0.950514118452646,0.95051,1.1654789161408,1.16548,0.217792796901878,0.21779,1.37127466768324,1.37127,1.02656123655898,1.02656,0.967171415774723,0.96717,0.985525737768156,0.98553,1.152767924976,1.15277,1.04098453043667,1.04098
125,0.43277117905402,0.43277,1.79064737166261,0.44933,1.30063723744408,0.29618,0.900998464369428,1,1.00160267367446,1.0016,0.949893426032488,0.94989,1.16566758992199,1.16567,0.218765254160146,0.21877,1.37092658491841,1.37093,1.02588475023619,1.02588,0.966849645972574,0.96685,0.985627499942198,0.98563,1.15251437715007,1.15251,1.04106781487478,1.04107
126,0.433033366198748,0.43303,1.79024764048465,0.44927,1.30031230798734,0.29617,0.900694126814046,1,1.00174594746477,1.00175,0.949261943899627,0.94926,1.16591941324391,1.16592,0.219687248351847,0.21969,1.37057890456141,1.37058,1.02521609361621,1.02522,0.966533149051316,0.96653,0.985726143843343,0.98573,1.15226668335191,1.15227,1.04114793133627,1.04115
127,0.433294341681428,0.43329,1.78986566079219,0.44921,1.29998620444041,0.29615,0.900404292970492,1,1.00188186859533,1.00188,0.948621489268836,0.94862,1.16623148045284,1.16623,0.220560720364157,0.22056,1.37023524828261,1.37024,1.02455716231131,1.02456,0.96622260738377,0.96622,0.985821517360718,0.98582,1.15202309497582,1.15202,1.04122529666017,1.04123
128,0.433552095244568,0.43355,1.78950143258522,0.44916,1.29966127498366,0.29614,0.900127600611688,1,1.00201318572399,1.00201,0.947973879354884,0.94797,1.16660069218483,1.1666,0.22138610689669,0.22139,1.36989467713043,1.36989,1.02390927500826,1.02391,0.965917524698794,0.96592,0.985913544438887,0.98591,1.15178604486451,1.15179,1.04129949400744,1.0413
129,0.433807287794741,0.43381,1.78915124418952,0.44911,1.29933595416352,0.29613,0.899863488820603,1,1.00213838708895,1.00214,0.947321215312351,0.94732,1.16702375536565,1.16702,0.222162413244769,0.22216,1.36956000795963,1.36956,1.0232718547816,1.02327,0.965618459301424,0.96562,0.986001996911541,0.986,1.15155355633327,1.15155,1.0413706901137,1.04137
130,0.434059891794173,0.43406,1.78881816177074,0.44906,1.29900857868557,0.29612,0.899612839038287,1,1.00225685424218,1.00226,0.946664178596776,0.94666,1.16749795805185,1.1675,0.222892016995184,0.22289,1.36922775323574,1.36923,1.02264687966151,1.02265,0.965326341700051,0.96533,0.986087102944988,0.98609,1.15132813825115,1.15133,1.04143913508236,1.04144
131,0.434309246336292,0.43431,1.78850202395176,0.44902,1.29868433411476,0.2961,0.899375410871726,1,1.00236975536327,1.00237,0.946005381454392,0.94601,1.16801991031409,1.16802,0.223574360142873,0.22357,1.36889992499789,1.3689,1.02203385514044,1.02203,0.965041047826891,0.96504,0.986168786483793,0.98617,1.15110796598612,1.15111,1.04150441207439,1.0415
132,0.434554057145727,0.43455,1.78819847354976,0.44898,1.29836312261024,0.29609,0.899151284451925,1,1.00247770890023,1.00248,0.94534380170189,0.94534,1.16858690020891,1.16859,0.224210680003408,0.22421,1.36857826701328,1.36858,1.02143632518915,1.02144,0.964763446156442,0.96476,0.986247123583391,0.98625,1.15089402788053,1.15089,1.04156685456103,1.04157
133,0.434795067742373,0.4348,1.78791170637042,0.44894,1.29804377008183,0.29608,0.89894005912386,1,1.00257934052414,1.00258,0.944684550255813,0.94468,1.16919582837233,1.1692,0.224800661182625,0.2248,1.3682617061944,1.36826,1.02085066341896,1.02085,0.964493040417563,0.96449,0.986321962132911,0.98632,1.15068784446107,1.15069,1.04162546212859,1.04163
134,0.435032498428419,0.43503,1.78763881762519,0.4489,1.2977261786887,0.29607,0.898741654756528,1,1.00267561226525,1.00268,0.944027286388391,0.94403,1.16984378915066,1.16984,0.225345880651354,0.22535,1.3679523887163,1.36795,1.02028016654684,1.02028,0.964230450949181,0.96423,0.986393302132351,0.98639,1.15048675480602,1.15049,1.04168148529417,1.04168
135,0.43526508246627,0.43527,1.78738238934833,0.44886,1.29741162036185,0.29605,0.89855575082591,1,1.00276528722753,1.00277,0.943371612583894,0.94337,1.17052807060041,1.17053,0.225846411192863,0.22585,1.3676491073555,1.36765,1.01972508182658,1.01973,0.963975429615725,0.96398,0.986461143581712,0.98646,1.15029243149476,1.15029,1.04173509079338,1.04174
136,0.435492131411579,0.43549,1.78714435806554,0.44883,1.29710254112251,0.29604,0.898382187069997,1,1.00284987717279,1.00285,0.942721106483902,0.94272,1.17124567021276,1.17125,0.226304193694329,0.2263,1.36735186211201,1.36735,1.019185574094,1.01919,0.963728348620552,0.96373,0.986525638591867,0.98653,1.15010586286963,1.15011,1.04178511147693,1.04179
